domain,url,ct_timestamp,label,n_bk_dom,n_blog_dom,n_forum_dom,ptile95_contain_hp,mean_contain_hp,med_contain_hp,ptile95_contain_num,r_contain_num_dom,n_contain_hp_num_url,n_contain_hp_num_dom,r_contain_hp_num_url,r_contain_hp_num_dom,n_follow_url,n_nofollow_url,r_follow_url,r_external_domain_to_domain,dom_to_page_url_med,dom_to_page_url_95ptil,dom_to_page_dom_med,dom_to_page_dom_95ptil,link_to_page_url_med,link_to_page_url_95ptil,link_to_page_dom_med,link_to_page_dom_95ptil,page_to_dom_url_med,page_to_dom_url_95ptil,page_to_dom_dom_med,page_to_dom_dom_95ptil,page_to_link_url_med,page_to_link_url_95ptil,page_to_link_dom_med,page_to_link_dom_95ptil,create_date_month,wm_start_date_month,n_rec_total,n_rec_normal,n_num_change,jcd_nl_mode,max_num_days,min_num_days,r_rec_normal,pds_html_con_rep_ratio_mean,pds_html_txt_rep_ratio_mean,pds_html_txt_mjr_sum_mean,pds_html_txt_mjr_rep_mean,pds_html_con_mjr_sum_mean,pds_html_con_mjr_rep_mean,pds_vp_mjr_sum_mean,pds_vp_mjr_rep_mean,pds_fp_mjr_sum_mean,pds_fp_mjr_rep_mean,pds_vp_loc_w_sum_mean,pds_vp_size_w_pct_mean,pds_fp_loc_w_sum_mean,pds_fp_size_w_pct_mean,pds_vp_area_ratio_mean,pds_fp_area_rfp_mean,pds_fp_area_rvp_mean,pds_html_con_mjr_ps_max_ratio,pds_html_con_mjr_ps_en,pds_vp_mjr_ps_max_ratio,pds_vp_mjr_ps_en,pds_fp_mjr_ps_max_ratio,pds_fp_mjr_ps_en,pds_head_sum_mean,pds_title_sum_mean
pogotechsupport.com,https://pogotechsupport.com,2020_10_08_02_28_07_383,1,10,0,0,19.75,8.1667,5.5,15.0,0.5,4,3,0.5,0.5,6,9,0.4,0.0,0.0,0.0,0.0,0.0,5.0,125.7,5.0,106.425,16.0,360.4,13.0,317.2,24.0,376.9,18.5,339.075,201410,201307,51,24,3,0.0,690,284,0.4706,0.7834,0.5540000000000000,2.3448,1.3448,4.931,3.931,1.2759,0.3448,1.1207,0.3103,0.1419,0.8594,0.0543,0.7086,0.0073,0.0024,0.0069999999999999,0.6724,1.3030000000000000,0.569,1.4936,0.5,1.6769,0.8621,0.2759
dlinktechsupport.com,https://dlinktechsupport.com,2020_10_08_02_27_53_779,1,9,0,0,23.5,6.625,2.0,24.85,0.625,5,4,0.5,0.5,2,9,0.1818,0.1111000000000000,0.0,0.5,0.0,0.6,25.0,232.5,11.0,229.0,19.0,895.0,19.0,812.2,28.0,1062.5,28.0,991.2,201501,201303,51,36,4,0.0,788,31,0.7059,0.8387,0.0,0.1837,0.0,6.7653,5.7653,0.0,0.0,0.0612,0.0,0.0,0.0,0.0243,0.0382,0.0,0.0001,0.0002,0.7245,1.564,0.0,0.0,0.0,0.4497,0.4694,0.1224
printers-setups.com,https://printers-setups.com,2020_10_08_01_52_55_200,1,312,158,21,12.75,15.6195,8.0,44.5,0.5657,3,2,0.0077,0.008,1928,243,0.8881,0.516,0.0,4.0,0.0,23.0,1.0,64.5,12.0,482.0,278.0,551.0,51.5,655.0,694.0,1373.0,120.0,1638.15,201905,201912,7,4,0,1.0,297,257,0.5714,0.5,0.5,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.6337,1.0,0.0,0.0021,0.0204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eprinthelp.com,https://eprinthelp.com,2020_10_08_01_18_59_993,1,55,8,13,3.25,2.0,1.0,21.25,0.25,0,0,0.0,0.0,171,100,0.631,0.3636,0.0,4.0,0.0,23.6,4.0,157.5,8.0,649.4,103.0,731.0,59.0,1033.0,134.0,1055.0,82.0,1332.0,201409,201509,67,51,1,0.0,121,121,0.7612,0.4609,0.4078,2.303,1.5909,2.4091,1.6970000000000000,0.1667,0.0152,1.2727,0.5455,0.0643,0.1515,0.2335,0.7121,0.0007,0.0018,0.0083,0.5,1.9054,0.0,0.7889,0.5303,1.7734,0.1061,0.0
linksysroutersupport247.com,https://linksysroutersupport247.com,2020_10_08_02_55_15_615,1,7,0,0,6.0,4.0,4.0,0.0,0.0,0,0,0.0,0.0,2,7,0.2222,0.0,0.0,0.0,0.0,0.0,7.0,128.8,6.0,90.45,3.0,527.8,3.0,332.5,3.0,560.8,3.0,352.65,201307,201309,73,44,3,0.0,950,116,0.6027,0.7671,0.006,0.1548,0.0119,4.619,3.619,0.0357,0.0,0.0238,0.0,0.0126,0.0357,0.0027,0.0236,0.0002,0.0001,0.0004,0.8095,1.159,0.0,0.2551,0.0,0.1623,0.6429,0.1429
quickensupporthelpnumber.com,https://quickensupporthelpnumber.com,2020_10_08_02_20_59_202,1,18,0,0,34.0,13.8235,3.0,22.8,0.7059,10,6,0.2857,0.3529,20,60,0.25,0.0555999999999999,0.0,0.0,0.0,0.15,12.0,49.9,8.0,110.65,13.0,90.0,9.5,266.4,50.5,112.0,52.0,329.85,201807,201905,41,23,1,1.0,288,236,0.561,0.8126,0.0447,1.2424,0.2222,6.6263,5.6263,0.1010000000000000,0.0,0.3535,0.1212,0.0301,0.0529,0.0982,0.0816,0.0003,0.0002,0.001,0.7677,1.4984,0.0,0.5508,0.0,1.3035,6.2323,0.8687
chawlatechnicalsupport.com,https://chawlatechnicalsupport.com,2020_09_06_06_18_10_757,1,289,24,8,13.8,3.8793,2.0,17.0,0.9409,342,171,0.7935,0.8424,1707,837,0.6710000000000000,0.0969,0.0,0.0,0.0,0.5,5.0,494.0,4.0,42.2,27.0,252.0,20.0,505.0,48.0,432.0,25.5,1076.0,201605,201704,42,41,1,0.0,302,302,0.9762,0.0167,0.025,0.95,0.05,0.95,0.05,0.85,0.0,0.05,0.0,0.1406,0.5439,0.0199,0.0169,0.0014,0.0,0.0001,0.85,0.7476,0.85,0.6098,0.0,0.2864,0.05,0.0
aoltech.supportphone-number.com,http://aoltech.supportphone-number.com,2020_09_06_06_18_02_532,1,316,69,51,10.0,2.3505,1.0,93.35,0.8284,189,81,0.3905,0.3971,3825,1175,0.765,0.2753,0.0,1.0,0.0,6.0,4.0,22.0,5.0,71.75,108.0,916.05,70.0,947.25,121.0,1633.0,115.0,1530.25,201607,201711,31,28,1,0.0,281,30,0.9032,0.4464,0.0,1.6667,0.0,4.0,3.3333,0.3333,0.0,0.6667,0.0,0.1345,0.156,0.1301,0.3333,0.0012,0.0009,0.0021,0.3333,1.585,0.0,0.9183,0.0,0.9183,4.0,0.6667
www.cliqmediastream.com,https://www.cliqmediastream.com,2020_09_06_08_06_58_797,1,1,0,0,3.0,3.0,3.0,5.0,1.0,3,1,0.6,1.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,19.4,8.0,8.0,14.0,25.8,14.0,14.0,202001,202001,0,0,0,0.0,0,0,0.0,0.5625,0.125,1.25,0.25,2.5,1.5,1.125,0.125,0.75,0.0,0.0817,0.5109,0.1121,0.2712,0.002,0.0006,0.0013,0.75,0.8113,0.875,0.5436,0.625,1.2988,0.0,0.0
garmin-update.site,http://garmin-update.site,2020_09_09_05_00_02_787,1,25,1,0,9.3,2.1562,1.0,6.0,0.8125,25,13,0.3731,0.4062,222,50,0.8162,0.04,0.0,0.0,0.0,0.0,2.0,17.45,2.0,11.0,67.0,114.0,10.0,84.9,71.0,118.0,26.0,92.0,201906,201906,8,8,0,1.0,460,262,1.0,0.8,0.8,5.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,0.4284,1.0,0.0562,0.8554,0.0128,0.0017,0.0132,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
